date,Ydc,Yac
2023/11/06,6.74846625766875,6.74846625766875
2023/11/07,253.98773006135,249.079754601227
2023/11/08,243.558282208589,238.650306748466
2023/11/09,240.490797546012,235.58282208589
2023/11/10,205.521472392638,201.226993865031
2023/11/11,214.110429447853,209.815950920245
2023/11/12,195.705521472393,192.024539877301
2023/11/13,193.865030674847,190.184049079755
2023/11/14,207.975460122699,203.680981595092
2023/11/15,125.153374233129,122.699386503068
2023/11/16,138.036809815951,135.58282208589
2023/11/17,202.453987730061,198.159509202454
2023/11/18,178.527607361963,174.846625766871
2023/11/19,214.110429447853,209.815950920245
2023/11/20,31.9018404907976,30.6748466257669
2023/11/21,125.153374233129,123.312883435583
2023/11/22,252.147239263804,247.239263803681
2023/11/23,209.20245398773,204.294478527607
2023/11/24,228.220858895706,223.312883435583
2023/11/25,214.723926380368,209.815950920245
2023/11/26,155.828220858896,151.533742331288
2023/11/27,153.374233128834,149.693251533742
2023/11/28,120.858895705521,118.40490797546
2023/11/29,222.699386503068,217.791411042945
2023/11/30,213.496932515337,208.588957055215
